id,titre,texte
11,"Faso Mêbo : l’Amicale des militaires et anciens militaires de l’armée américaine, originaires du Burkina, offre 40 tonnes de granite et 75 tonnes de sable","Faso Mêbo : l’Amicale des militaires et anciens militaires de l’armée américaine, originaires du Burkina, offre 40 tonnes de granite et 75 tonnes de sable

Ouagadougou, 19 sept. 2025 (AIB)-L’Amicale des militaires et anciens militaires de l’Armée américaine, originaires du Burkina Faso, a fait, vendredi, un don estimé à un million de francs CFA à l’initiative présidentielle Faso Mêbo.

Ce don est composé de quarante (40) tonnes de granite et de soixante-quinze (75) tonnes de sable, pour une valeur totale d’environ un million de francs CFA.

Cette initiative de l’Amicale vise à répondre à l’appel à contribution lancé par les plus hautes autorités du pays pour la construction nationale.

« En voyant le grand engouement et l’engagement réel des populations pour soutenir l’initiative présidentielle, nous avons voulu aussi apporter notre modeste contribution », a déclaré Kalifa Romuald Dao, Secrétaire général de l’Amicale.

L’Amicale a par ailleurs invité tous les Burkinabè, où qu’ils se trouvent, à soutenir les initiatives du Président du Faso, le Capitaine Ibrahim Traoré.

« Nous voulons que d’autres Burkinabè s’inspirent de ce bel exemple en accompagnant le Président du Faso pour le développement de notre chère patrie », a lancé M. Dao.

En plus de ce don, les membres de l’Amicale ont contribué à la confection des pavés sur le site de Faso Mêbo.

Créée en 2022, l’Amicale des militaires et anciens militaires de l’Armée américaine, originaires du Burkina Faso et qui compte à ce jour 38 membres, avait déjà soutenu une initiative visant à collecter des vivres au profit des populations de la ville de Djibo.

Agence d’Information du Burkina

OS/ata"
12,"Kuilsé/Délégation spéciale régionale : L’orientation du budget 2026 au cœur de la 3ème session ordinaire","Kuilsé/Délégation spéciale régionale : L’orientation du budget 2026 au cœur de la 3ème session ordinaire

Kaya, 24 septembre 2025-La Délégation spéciale régionale du Centre-Nord a tenu sa troisième session ordinaire le mercredi 24 septembre 2025. Consacrée à l’orientation budgétaire, elle a permis de prendre des délibérations et de renforcer les connaissances des participants.

Cette session a offert à la Délégation spéciale régionale du Centre-Nord l’occasion d’analyser les priorités et les grands axes de la stratégie financière pour l’année 2026.

Pour le Colonel-Major Z. Blaise Ouédraogo, président de la Délégation spéciale régionale, les orientations retenues permettront de répondre au mieux aux attentes des populations, tout en tenant compte du contexte économique et des directives définies par l’État.

Plusieurs délibérations ont été adoptées. Le retrait de la Région de l’Association internationale des régions francophones (AIRF), dont elle est membre depuis 2007, a été acté. La composition, les attributions et le fonctionnement des commissions permanentes de la Délégation spéciale régionale ont également fait l’objet d’échanges, d’amendements et d’adoption. La dernière délibération a porté sur l’autorisation de signature d’un protocole d’accord relatif à la mise en œuvre du programme d’appui du Fonds pour l’Alphabétisation et l’Education Non-Formelle (FONAENF).

Des communications ont aussi été présentées sur la circulaire budgétaire 2026 des collectivités territoriales, la situation nutritionnelle dans la région, la stratégie de mobilisation optimale des ressources, le civisme fiscal ainsi que la carte universitaire du Burkina Faso. Elles ont permis d’outiller davantage les membres de la DSR.

Cette session de 24 heures a enregistré la présence de 60 enfants venus découvrir la Délégation spéciale régionale du Centre-Nord. Encadrés par des spécialistes de la petite enfance, ils ont suivi avec attention le déroulement des travaux de bout en bout. La veille, ils avaient eu droit à des échanges directs avec le Colonel-Major Z. Blaise Ouédraogo sur les missions de l’institution régionale. Selon les encadreurs, cette immersion s’inscrit dans le cadre des activités des clubs d’enfants mis en place dans plusieurs communes de la région.

Agence d’Information du Burkina (AIB)

AIO/ata"
13,"Zabré/Chronique :  Le cauchemar des motos volatilisées resurgit","Zabré/Chronique :  Le cauchemar des motos volatilisées resurgit

Zabré, 25 sept. 2025(AIB)- À Zabré, les motos ont parfois la mauvaise habitude de disparaître comme par magie. Après une pause, les voleurs semblent avoir repris du service, rappelant aux habitants que la tranquillité n’était qu’une illusion. Deux engins envolés en une semaine au CMA et au CSP urbain 1, suffisent à raviver l’angoisse du retour d’un vieux fléau.

Derrière chaque engin dérobé se cache bien plus qu’une machine à deux roues : des économies patientes, des sacrifices familiaux, parfois l’unique outil de travail. Perdre une moto à Zabré, ce n’est pas seulement perdre un bien matériel, c’est voir souvent s’effondrer un équilibre fragile. De quoi pleurer, sans doute.

Et pourtant, difficile de ne pas esquisser un sourire amer devant le paradoxe local. Les parkings existent, souvent vides, parfois négligés.

Mais les usagers préfèrent défier le bon sens : on gare devant un maquis, un centre de santé ou un marché, à deux pas d’un parking officiel. Certains vont même jusqu’à laisser la clé sur le contact, comme si une règle tacite suffisait à protéger leur engin : « touche pas à ma moto ». Pour les voleurs, c’est l’aubaine rêvée.

Alors, rire ou pleurer ? Peut-être les deux. Mais une leçon s’impose : il est temps que Zabré prenne au sérieux la culture du parking. Non pas comme une option, mais comme une nécessité. Parce qu’une moto, ici, n’est pas un luxe : c’est un gagne-pain, un outil de mobilité, parfois une planche de salut.

Les voleurs, eux, ne philosophent pas. Ils observent, ils profitent et ils passent à l’action. Reste à savoir si la population acceptera enfin de fermer le bâton qu’elle leur tend elle-même pour se faire fouetter.

Agence d’Information du Burkina (AIB)

Jean Pierre BOUSSIM

NB : Photo d’illustration"
14,"ONU : Les Premiers ministres de l’AES se concertent avant le rendez-vous de samedi","ONU : Les Premiers ministres de l’AES se concertent avant le rendez-vous de samedi

NEW YORK, 24 sept. 2025(AIB)-Les Premiers ministres des États membres de la Confédération de l’Alliance des États du Sahel se sont réunis mercredi à New York afin d’harmoniser leurs points de vue avant leur participation au débat général de la 80e Assemblée générale de l’ONU, qui se tiendra le 27 septembre.

Cette rencontre a réuni le Premier ministre burkinabè  Rimtalba Jean Emmanuel Ouédraogo et ses homologues du Mali Abdoulaye Maïga et du Niger Ali Lamine Zeine.

Leur objectif était de présenter un front commun et de porter la voix des peuples de l’AES le samedi 27 septembre 2025 sur la tribune des Nations-Unies.

Selon le ministre malien des Affaires étrangères, Abdoulaye Diop, cette réunion a permis aux chefs de gouvernement de partager leurs analyses sur la situation mondiale et de réaffirmer les aspirations des peuples de l’AES.

Ils ont notamment mis l’accent sur la nécessité de l’indépendance, de la souveraineté et de la rupture avec des pratiques qui ne servent pas les intérêts de leurs populations.

Les Premiers ministres ont également planifié des actions collectives pour porter solidairement le message de l’AES à la tribune des Nations unies. Ils se sont notamment félicités des avancées de la Confédération, saluant le leadership des chefs d’État respectifs.

Le diplomate malien a conclu en réitérant l’engagement des gouvernements de l’AES à travailler de manière solidaire pour atteindre l’objectif de dignité et de prospérité pour leurs peuples.

Agence d’information du Burkina

ANA/ata"
15,"Balé: La commune de Fara a investi plus dans le domaine de l’environnement et l’eau entre 2022 et 2024","Balé: La commune de Fara a investi plus dans le domaine de l’environnement et l’eau entre 2022 et 2024

Fara: le 17 sept.2025 (AIB)- La Délégation Spéciale de la commune de Fara a tenue la 3e session de son cadre de Concertation le mercredi 17 septembre 2025.A cet effet les acteurs ont fait le bilan des investissements de la période de 2022 à 2024.

Cet espace de dialogue et de participation citoyenne pour la transparence dans la gestion des affaires de la commune a connu la participation des représentants des couches socio-professionnelles et du haut commissaire de la province,Martin Bako.

Le bilan des investissements de 2022, 2023 et 2024 a été présenté par le Sécrétaire général de la mairie, Mohamadi Zongo. Il ressort que 143.774.948 FCFA ont été injectés dans les domaines de l’ éducation, la santé, les infrastructures routières, les aménagements de bas-fond, de jardin, des lampadaires.

Ces investissements ont été assurés par le fond minier de développement local, le PGPC/REDD+, le budget communal et le PUDTR.

C’est le domaine de l’environnement et l’eau qui a enregistré plus d’investissement, suivi de l’éducation. Les chantiers en perspective sont entre autres les travaux de construction d’une salle de conférence à la mairie, la réalisation d’un parc à vaccination, les travaux de construction d’un plateau omnisports au stade communal Zonou Issa.

Après les différents bilans, des échanges interactifs ont contribué à éclairer et à sensibiliser les membres du cadre. Tous ont convenu que le développement endogène est le meilleur et ne peut être une réalité que lorsque les filles et fils de la commune s’uniront.

Pour une meilleure implication des populations au développement local, des recommandations ont été faites par les autorités locales.

Les filles et fils de la commune ont dit avoir pris bonne note puis ils ont pris l’engagement de mieux travailler à l’édification de la commune de Fara.
C’est le Préfet, président de la délégation spéciale de la commune, Aloys Ouango qui a prononcé le mot de bienvenue et d’ouverture de la session.

Le haut commissaire invité special du cadre, a exhorté la population à soutenir les initiatives du gouvernement et à apporter également des initiatives pour le développement local endogène prôné par les autorités de notre pays.

Agence d’Information du Burkina
EK//OM/yos"
16,"Ousmane Dembélé (PSG) remporte le ballon d’or","Ousmane Dembélé (PSG) remporte le ballon d’or
Ouagadougou, 22 sept. 2025 (AIB) – Le Français Ousmane Dembélé a remporté lundi soir au Théâtre du Châtelet à Paris (France), le Ballon d’Or 2025.

L’attaquant du Paris Saint-Germain devient ainsi le sixième joueur tricolore à décrocher la prestigieuse distinction individuelle, succédant à Karim Benzema (2022). Une consécration pour un joueur dont le talent, longtemps jugé inconstant, a éclaté au grand jour cette saison.

Auteur d’une année exceptionnelle avec le PSG, ponctuée par un doublé Ligue des champions – championnat de France, Dembélé a été l’un des artisans majeurs du succès parisien. Sa vitesse, ses dribbles déroutants et son efficacité retrouvée ont fait la différence dans les grands rendez-vous, notamment lors de la finale de C1 où il a inscrit un but décisif. En sélection, il a également brillé, menant les Bleus jusqu’en finale de l’Euro 2024.

Ce sacre couronne une trajectoire marquée par des hauts et des bas. Formé à Rennes, révélé au Borussia Dortmund puis confronté aux blessures au FC Barcelone, Dembélé a su relancer sa carrière sous les couleurs parisiennes. À 28 ans, il atteint la plénitude de ses moyens et confirme enfin les immenses promesses entrevues dès ses débuts professionnels.

Après Raymond Kopa, Michel Platini, Jean-Pierre Papin, Zinédine Zidane et Karim Benzema, Ousmane Dembélé ajoute son nom à une liste prestigieuse. Un couronnement qui sonne comme une revanche personnelle, mais aussi comme l’aboutissement du projet sportif ambitieux du PSG.
Plusieurs autres prix ont été remis lors de cette prestigieuse cérémonie.
Agence d’information du Burkina
As/ata"
17,"Banwa/Tansila : la veille citoyenne soutient l’effort de paix avec 1 000 000 F CFA","Banwa/Tansila : la veille citoyenne soutient l’effort de paix avec 1 000 000 F CFA

Solenzo, 21 sept. 2025 (AIB)-La veille citoyenne de la commune rurale de Tansila, située à 55 km de Solenzo, a contribué à hauteur d’un million de francs CFA pour soutenir l’effort de paix au Burkina Faso.

L’argent a été déposé au Trésor public le jeudi 18 septembre 2025 et, hier samedi 20 septembre 2025, le président de la délégation spéciale de ladite commune, Mamadou Coulibaly, a remis la quittance de dépôt au président de la veille citoyenne, Sangoana Dioma, en présence de la population.

« Nous avons donné un million pour soutenir l’effort de paix, car nous voyons le matériel qui entre dans notre pays et nous avons décidé de soutenir notre président, le capitaine Ibrahim Traoré, afin que notre pays devienne un paradis sur terre et bien développé », a expliqué Sangoana Dioma, président communal de la veille citoyenne de Tansila.

Selon lui, cette action a pu se réaliser grâce à la mobilisation de la population et des ressortissants de la commune de Tansila.

Après la remise de la quittance, la veille citoyenne a lancé une nouvelle cotisation en vue de soutenir les FDS et les VDP pour la réussite de leur mission dans la lutte contre le terrorisme.

Le PDS, Mamadou Coulibaly, a appelé la population de Tansila à plus de cohésion et d’entente afin de faire de Tansila une destination enviée de tous.

Agence d’Information du Burkina 

SO/ata"
18,"Burkina/Solidarité : La CARFO offre 1198 bourses scolaires d’une valeur de 100 000 F CFA chacune à des orphelins","Burkina-Carfo-Remise-Bourse-Orphélins

Burkina/Solidarité : La CARFO offre 1198 bourses scolaires d’une valeur de 100 000 F CFA chacune à des orphelins

Ouagadougou, 19 sept. 2025 (AIB)- Dans le cadre de la 18e édition de la cérémonie de remise de bourses scolaires aux orphelins, la Caisse autonome de Retraite des Fonctionnaires (CARFO) a remis ce vendredi matin, 1198 bourses scolaires d’une valeur de 100 000 FCFA chacune, aux ayants droit de ses pensionnés décédés et à ceux des forces combattantes tombées sur le champ de bataille. Cet octroi des bourses vise à faciliter l’accès à l’éducation par les orphelins.

La cérémonie a été marquée par l’octroi de 1 198 bourses scolaires aux orphelins des pensionnés de la CARFO et des forces de défense et de sécurité, pour un montant global de 119 800 000 F CFA.

Elle a également connu la remise de dons en nature, dont des sacs de riz destinés aux tutrices des orphelins, la distribution d’attestations de réussite au baccalauréat aux élèves, ainsi que l’attribution de prix d’excellence d’une valeur de 200 000 F CFA chacun aux dix meilleurs bacheliers boursiers de la CARFO, sans oublier des prix d’encouragement pour l’ensemble des lauréats.

Les partenaires techniques et financiers ont aussi remis des chèques géants lors de la cérémonie pour un montant global mobilisé de 54 600 000 F CFA. En retour, la CARFO les a remis des attestations en guise de reconnaissance.

Selon le directeur général de la CARFO, Hyacinthe Tamalgo, sa structure bénéficie de l’accompagnement de partenaires techniques depuis le début de l’opération de remise de bourses scolaires aux orphelins en 2008.

Il a indiqué que l’action de la CARFO soutenue par ses partenaires a permis aux bénéficiaires d’obtenir des résultats scolaires fort appréciable, l’année écoulée.

« Sur un total de 293 candidats aux examens scolaires de l’année 2024-2025, 199 boursiers ont été admis, soit un taux de réussite global de 67, 92%. La répartition par type d’examen est la suivante : 72 boursiers ont été admis au baccalauréat sur 112 candidats, 12 admis sur 20 au BEP, 58 admis sur 100 au BEPC, 44 admis sur 46 au CEP, ainsi que 7 admis sur 9 au CAP et les 2 présentés au BQP et au CQP ont brillamment réussi leurs examens, etc. », a soutenu le directeur général.

M. Tamalgo estime que les témoignages émouvants des représentants des orphelins montrent que cette cérémonie a tout le mérite d’être pérennisée.

Deux éléments majeurs ont marqué l’innovation de cette 18e édition. Il s’agit dans un premier temps de la digitalisation des payements des bourses. Depuis 2024, la CARFO paye les bourses des orphelins par les plateformes en ligne des téléphones mobiles. La deuxième innovation est la sélection des bourses sur une plateforme. Cette option vient remplacer celle manuelle pour les dépôts de demande et de traitement en ligne, dans un souci de célérité et de transparence

Pour le patron de la cérémonie, le ministre en charge de la Fonction publique, Mathias Traoré, cette opération, loin d’être une simple tradition, est une réponse dynamique aux aspirations des populations.

Pour lui, cette cérémonie prend appui sur l’Initiative présidentielle pour une éducation de qualité pour tous (IPEQ) afin de permettre à tous les Burkinabè d’avoir accès à une éducation innovante, débarrassée des insuffisances de tous ordres.

M. Traoré a invité l’ensemble des Burkinabè à une introspection sur le don de soi, l’intérêt général, la solidarité et le patriotisme.

Agence d’information du Burkina

BBP/Yos

"
19,"Burkina-Carfo-Remise-Bourse-Orphélins

Burkina/Solidarité : La CARFO offre 1198 bourses scolaires d’une valeur de 100 000 F CFA chacune à des orphelins

Ouagadougou, 19 sept. 2025 (AIB)- Dans le cadre de la 18e édition de la cérémonie de remise de bourses scolaires aux orphelins, la Caisse autonome de Retraite des Fonctionnaires (CARFO) a remis ce vendredi matin, 1198 bourses scolaires d’une valeur de 100 000 FCFA chacune, aux ayants droit de ses pensionnés décédés et à ceux des forces combattantes tombées sur le champ de bataille. Cet octroi des bourses vise à faciliter l’accès à l’éducation par les orphelins.

La cérémonie a été marquée par l’octroi de 1 198 bourses scolaires aux orphelins des pensionnés de la CARFO et des forces de défense et de sécurité, pour un montant global de 119 800 000 F CFA.

Elle a également connu la remise de dons en nature, dont des sacs de riz destinés aux tutrices des orphelins, la distribution d’attestations de réussite au baccalauréat aux élèves, ainsi que l’attribution de prix d’excellence d’une valeur de 200 000 F CFA chacun aux dix meilleurs bacheliers boursiers de la CARFO, sans oublier des prix d’encouragement pour l’ensemble des lauréats.

Les partenaires techniques et financiers ont aussi remis des chèques géants lors de la cérémonie pour un montant global mobilisé de 54 600 000 F CFA. En retour, la CARFO les a remis des attestations en guise de reconnaissance.

Selon le directeur général de la CARFO, Hyacinthe Tamalgo, sa structure bénéficie de l’accompagnement de partenaires techniques depuis le début de l’opération de remise de bourses scolaires aux orphelins en 2008.

Il a indiqué que l’action de la CARFO soutenue par ses partenaires a permis aux bénéficiaires d’obtenir des résultats scolaires fort appréciable, l’année écoulée.

« Sur un total de 293 candidats aux examens scolaires de l’année 2024-2025, 199 boursiers ont été admis, soit un taux de réussite global de 67, 92%. La répartition par type d’examen est la suivante : 72 boursiers ont été admis au baccalauréat sur 112 candidats, 12 admis sur 20 au BEP, 58 admis sur 100 au BEPC, 44 admis sur 46 au CEP, ainsi que 7 admis sur 9 au CAP et les 2 présentés au BQP et au CQP ont brillamment réussi leurs examens, etc. », a soutenu le directeur général.

M. Tamalgo estime que les témoignages émouvants des représentants des orphelins montrent que cette cérémonie a tout le mérite d’être pérennisée.

Deux éléments majeurs ont marqué l’innovation de cette 18e édition. Il s’agit dans un premier temps de la digitalisation des payements des bourses. Depuis 2024, la CARFO paye les bourses des orphelins par les plateformes en ligne des téléphones mobiles. La deuxième innovation est la sélection des bourses sur une plateforme. Cette option vient remplacer celle manuelle pour les dépôts de demande et de traitement en ligne, dans un souci de célérité et de transparence

Pour le patron de la cérémonie, le ministre en charge de la Fonction publique, Mathias Traoré, cette opération, loin d’être une simple tradition, est une réponse dynamique aux aspirations des populations.

Pour lui, cette cérémonie prend appui sur l’Initiative présidentielle pour une éducation de qualité pour tous (IPEQ) afin de permettre à tous les Burkinabè d’avoir accès à une éducation innovante, débarrassée des insuffisances de tous ordres.

M. Traoré a invité l’ensemble des Burkinabè à une introspection sur le don de soi, l’intérêt général, la solidarité et le patriotisme.

Agence d’information du Burkina

BBP/Yos

","Burkina – Conseil – Ministre

Burkina : De nouveaux produits soumis à Autorisation spéciales d’importation et d’’exportation

Ouaga, 18 sept. 2025 (AIB)- Le Conseil des ministres de ce jeudi a soumis trois et huit nouveaux produits à Autorisation spéciales d’importation et d’exportation.

Les trois nouveaux produits soumis à Autorisation spéciale d’importation sont boissons sans alcool, les boissons énergisantes sans alcool et les boissons énergétiques sans alcool.

Les huit nouveaux produits à l’exportation sont le riz et ses produits dérivés, le soja, l’arachide avec coque, l’arachide décortiquée, la tomate, l’oignon, la mangue fraîche et le miel brut.

Dans son compte rendu, le porte parole du gouvernement, Pingdwendé Gilbert Ouédraogo a indiqué que la relecture du décret fixant la liste des produits soumis à Autorisation spéciale d’importation et d’exportation permet de se conformer à la nouvelle loi sur les emballages et sachets en plastique au Burkina Faso.

Elle permettra également de soutenir la politique du Gouvernement en matière de financement autonome et structurant pour le développement des filières agricole, pastorale et halieutique, a-t-il poursuivi.

Agence d’information du Burkina
WIS/bbp"
20,"France: Des violences contre des manifestants ont été signalées dans plusieurs villes","Burkina-inter-France-Manifestation-Violences

France: Des violences contre des manifestants ont été signalées dans plusieurs villes

Ouagadougou, 18 sept. 2025 (AIB) –
Des affrontements entre manifestants et forces de l’ordre ont eu lieu dans plusieurs villes de France, occasionnant l’interpellation violente de beaucoup de personnes, rapportent plusieurs sources médiathèques.

Le 18 septembre, une grève nationale se déroule pour protester contre les mesures d’austérité proposées par le gouvernement.

Des violences policières ont été signalés dans plusieurs villes notamment à Toulouse, Brest et Marseille.

Selon plusieurs médias, la population répond à ces violences par l’usage des fumigènes.

L’utilisation disproportionnée de la violence par la police en France lors des manifestations pacifiques de la population a été dénoncée à plusieurs reprises par des ONG.

Agence d’information du Burkina"
